#OTU ID	SRR2533834	SRR2533846	SRR2533860	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533979	SRR2533985	SRR2534007	SRR2534013	SRR2534024	SRR2534037	SRR2534046	SRR2534057	SRR6920027	SRR6920028	SRR6920029	SRR6920031	SRR6920032	SRR6920033	SRR6920034	SRR6920035	SRR6920036	SRR6920041	SRR6920045	SRR6920046	SRR6920047	SRR6920048	SRR6920049	SRR6920050	SRR6920051	SRR6920052	SRR6920053	SRR6920056	SRR6920058	SRR6920059	SRR6920072	SRR6920075	SRR6920077	SRR6920078	SRR6920085	SRR6920086	SRR6920087	SRR6920088	SRR6920089	SRR6920090	SRR6920091	SRR6920092	SRR6920093	SRR6920094	SRR7635466	SRR7635470	SRR7635478	SRR7635481	SRR7635489	SRR7635493	SRR7635503	SRR7635538	SRR7635553	SRR7635563	SRR7635580	SRR7635581	SRR7635596	SRR7635605	SRR7635613	SRR7635627	SRR7635629	SRR7635654	SRR7635667	SRR7635683	SRR7635688	SRR7635695	SRR7635708	SRR7635731	SRR7635743	SRR7635769	SRR7635793	SRR7635815	SRR7635825	SRR7635839	SRR7635851	SRR7635862	SRR7635879	SRR7635891	SRR7635903	SRR7635918	SRR7635942	SRR7635964	SRR7635971	SRR7635994	SRR7636007	SRR7636010	SRR7636016	SRR7636020	SRR7636031	SRR7636047	SRR7636084	SRR7636103	SRR7636117	SRR7636124	SRR7636128	SRR7636151	SRR7636156	SRR7636174	SRR7636179	SRR7636195	SRR7636204	SRR7636214	SRR7636238	SRR7636246	SRR7636247	SRR7636265	SRR7636266	SRR7636267	SRR7636277	SRR7636291	SRR7636294	SRR7636307	SRR7636333	SRR7636348	SRR7636352	SRR7636363	SRR7636367	SRR7636374	SRR7636382	SRR7636388	SRR7636416	SRR7636423	SRR7636435	SRR7636439	SRR7636445	SRR7636460	SRR7636473	SRR7636476	SRR7636477	SRR7636479	SRR7636484	SRR7636503	SRR7636510	SRR7636515	SRR7636519	SRR7636520	SRR7636521	SRR7636527	SRR7636560	SRR7636577	SRR7636580	SRR7636587	SRR7636588	SRR7636592	SRR7636596	SRR7636597	SRR7636627	SRR7636634	SRR7636635	SRR7636655	SRR7636664	SRR7636675	SRR7636686	SRR7636689	SRR7636690	SRR7636693	SRR7636725	SRR7636729	SRR7636737	SRR7636756	SRR7636763	SRR7636777	SRR7636786	SRR7636790	SRR7636797	SRR7636801	SRR7636806	SRR7636827	SRR7636830	SRR7636849	SRR7636851	SRR7636861	SRR7636869	SRR7636890	SRR7636892	SRR7636895	SRR7636899	SRR7636900	SRR7636904	SRR7636908	SRR7636915	SRR7636923	SRR7636927	SRR7636955	SRR7636960	SRR7636969	SRR7636974	SRR7637012	SRR7637020	SRR7637026	SRR7637029	SRR7637032	SRR7637034
OTU_1	0	1083	9	0	513698	50	59	5	122	241973	0	0	0	0	0	0	0	10048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6048	0	0	0	0	10	0	0	93	4704	0	0	0	0	0	10311	0	8	66562	0	0	0	7	104523	0	0	13	24638	14	38	9	0	0	8	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	4	0	12	3	0	0	0	4	12	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	7	0	11	0	0	0	0	0	3	0	12	28	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	18	0	0	0	0	0	13	0	0	0	0	0	0	16	8	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	8	0	5	0	0	0	0	9	0	0	0	0
OTU_1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	0	5	5	0	0	0	0	10	5	0	3	0	0	5	0	0	26	0	0	0	2	0	12	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	6	0	9	0	6	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	4	0	0	0	0	0	24	0	0	0	0	0	11	0	0	0	0	0	0	10	24	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	14	11	6	0	0	0	0	5	0	0	0	0
OTU_1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	5	0	12	0	0	9	0	0	13	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	28	0	0	0	2	0	0	0	0	0	0	0	0	6	0	13	0	0	0	0	0	0	0	0	0	14	9	0	0	0	6	0	3	0	0	9	8	5	0	0	0	0	0	0	0	6	22	4	0	19	10	0	0	2	0	0	10	0	0	0	4	2	6	0
OTU_1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
