#OTU ID	SRR7635466	SRR7635478	SRR7635493	SRR7635553	SRR7635581	SRR7635596	SRR7635605	SRR7635629	SRR7635654	SRR7635667	SRR7635683	SRR7635688	SRR7635695	SRR7635708	SRR7635743	SRR7635769	SRR7635793	SRR7635815	SRR7635825	SRR7635839	SRR7635862	SRR7635879	SRR7635891	SRR7635903	SRR7635942	SRR7635964	SRR7635994	SRR7636010	SRR7636016	SRR7636031	SRR7636047	SRR7636084	SRR7636103	SRR7636117	SRR7636124	SRR7636128	SRR7636151	SRR7636174	SRR7636204	SRR7636214	SRR7636246	SRR7636267	SRR7636291	SRR7636307	SRR7636333	SRR7636348	SRR7636363	SRR7636367	SRR7636374	SRR7636388	SRR7636416	SRR7636423	SRR7636435	SRR7636445	SRR7636460	SRR7636473	SRR7636476	SRR7636477	SRR7636479	SRR7636484	SRR7636503	SRR7636510	SRR7636519	SRR7636527	SRR7636560	SRR7636587	SRR7636588	SRR7636592	SRR7636597	SRR7636655	SRR7636675	SRR7636686	SRR7636690	SRR7636693	SRR7636729	SRR7636737	SRR7636763	SRR7636777	SRR7636786	SRR7636801	SRR7636806	SRR7636827	SRR7636830	SRR7636849	SRR7636861	SRR7636869	SRR7636890	SRR7636895	SRR7636899	SRR7636900	SRR7636904	SRR7636908	SRR7636955	SRR7636969	SRR7636974	SRR7637012	SRR7637020	SRR7637029	SRR7637034
ASV_11	    0	 3478	    0	12262	    0	    0	    0	    0	    0	    0	    0	    3	    0	    0	    0	 6831	    0	    0	    0	    0	    0	    0	    0	    2	    0	    0	    0	    0	    0	    0	   10	    0	    0	    0	    0	    0	    0	    0	    0	    0	 4116	    0	    0	 2073	    0	    0	    0	    0	 6525	    0	    0	    6	    0	    0	    0	 2808	    0	    0	    0	    0	    0	    0	    0	    0	 4352	    0	    0	    0	    0	   13	    0	   39	    0	    0	    0	    0	 4799	    0	 2554	    0	    0	    2	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	10280	    0
ASV_12	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   11	    0	    0	    0	    0	    0	54459	 3196	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	  222	    0	    0
ASV_13	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   39	    0	   31	    0	  630	    0	    0	    0	   53	    0	    0	    0	    0	    0	    0	    0	    0	    0	  119	    0	    0	    0	   41	    0	    0	    0	    0	    0	 1761	    0	    0	  703	    0	    0	    0	    0	 3272	    0	    0	    0	    0	26534	    0	  202	  562	    0	    0	    0	    0	    0	    0	 2177	    0	   39	 7859	    0	    0	  111	    0	    0	    0	    0	  265	    0	    0	    0	    0	  145	  442	    0	    0	    0	 4047	    0	    0	  308	 1474	 1667	    0	    0	    0	 1190	    0	    0	    0	    0	    0	 1553	    0
ASV_14	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	 5227	    0	    0	 4194	    0	    0	    0	    0	    0	    0	    0	    0	 5252	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	33385	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	  100	    0	    0	    0	    0	 1368	    0	    0	    0	    0	    0	    0	    0	    0	    7	 2092	    0	    0	    0	    0	    0	    0
ASV_15	    0	 6247	    0	    0	    0	    0	    0	    0	    0	    0	    0	    2	    0	    0	    0	  689	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    2	    0	    0	    0	    2	    0	    0	    0	    0	    0	 1507	    0	    0	    0	    0	    0	  214	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	17144	 7506	    0	14307	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	 1165
ASV_16	   0	 119	 646	   0	   0	   0	  18	  10	   0	 488	   7	   0	   0	   0	 648	   0	   0	 781	 750	   0	   0	   6	   0	 117	   0	   0	   0	   0	 105	   0	   0	 319	1116	1745	   0	   0	   0	   0	   0	   0	1124	 752	  33	8636	   0	 184	  27	1495	   0	  25	 202	2002	2821	 207	 866	   0	 494	 152	 161	   0	   0	   6	1634	9389	   0	  19	   0	 518	   5	 228	   0	  42	  53	 292	 103	   0	   7	  38	  32	   4	 231	 799	 207	   0	  10	 251	   0	   0	   0	 971	   0	   0	 464	  17	  26	   0	   0	 302	   0
ASV_17	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    2	   46	    0	    0	   18	    0	    0	   78	    0	   10	    2	    0	    0	    0	    0	    0	    0	  318	    0	    0	    0	    0	    0	    0	    0	    2	   49	  776	    0	  670	  421	    0	10205	    0	   11	    0	    0	    0	    0	    0	 2574	    0	    0	    0	  106	    0	    0	  784	    0	    0	    0	    0	    0	    0	    0	    0	  755	 5236	 1496	    0	   18	    0	    0	    0	   65	    6	    0	 3874	    0	    0	    0	10914	    0	    0	  470	    0	    0	    0	    0	    0	    0	   89	    0	 1565	    0	  151	  776	   39
ASV_18	    0	    0	    0	20683	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	18242	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    8	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
ASV_19	    0	    0	    0	    0	    0	    0	    0	  960	 1368	    0	    0	  223	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	 3663	    0	    0	    0	    0	 4138	    0	    0	11031	    0	    0	    0	    0	    0	    0	 5058	    0	    0	    0	    0	    0	    0	    0	 2368	    0	    0	    0	 2341	    0	    0	    0	    0	    0	    0	  294	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   10	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	 1825	    0	    0	    0	    0	    0	    0	    0	    0	  146	    0	    0	    0	    0	    0	    0
ASV_20	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	  81	   4	   0	   0	   0	   0	   2	 131	 128	   0	   0	   0	   0	   0	   0	   0	   0	   0	6072	   0	   0	   0	   0	 249	   0	   0	   0	   0	1901	   9	   0	 704	 615	  59	   0	   0	   0	   0	   0	   0	   0	8303	 131	 582	 249	   0	   0	   0	 113	   0	   0	 403	   0	   0	   9	   0	   0	   0	 586	 339	   0	   0	1031	 428	  15	   0	   7	  69	   0	   0	 255	 271	   0	   0	   0	 843	2330	   0	   0	   0	   0	   0	  27	 142	  56	   0	   0	  18	   3
ASV_21	   0	   0	 858	   0	   0	   0	   0	   0	   0	   0	   0	   0	  57	   0	1330	  34	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	  78	   0	   0	   0	   0	  30	1371	   0	1068	1385	   0	   8	   0	   0	  91	 742	   0	   0	   0	   0	   0	   0	 671	   0	1505	1362	 111	   0	  74	   0	  63	  27	1912	   0	 170	2190	5501	 370	   0	  40	   0	   0	   0	   0	   0	  87	   0	   0	   0	 104	   0	   0	   0	  85	   0	   0	   0	   0	   0	   0	   0	   0	1772	   0	 799	   0	 242
ASV_22	   3	   0	1947	   0	   8	   0	   0	   0	   0	   0	   0	   0	  23	   0	   0	   0	   0	   0	  44	   0	   0	   0	   0	  52	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	 376	   0	   0	   0	   0	   0	   0	   0	   0	   0	  37	1329	   0	   0	   0	  64	   0	   0	  70	   0	   0	 152	   0	   0	6084	   0	   0	4571	 298	 857	   0	   0	   0	   0	   0	   0	  13	   0	   0	   0	   0	 831	4637	   0	   0	  33	   0	   0	   0	   0	   0	   0	   0	   0	1266	   0	   0	   0	  98
ASV_23	   0	   5	  42	   6	   8	   0	   0	  16	   0	 121	   0	   3	   7	   0	1242	   0	   0	 400	1186	   0	   9	   6	   0	   0	   0	   0	   0	   0	 217	   0	  10	 288	 307	 124	   0	   0	  48	   9	 713	 176	   5	  58	  88	  12	  23	  19	  35	  52	   0	   0	 440	  52	 106	  72	  12	   2	   7	  72	 114	   0	  39	   0	 595	2125	  20	  23	 106	 675	  30	 338	   2	2754	 158	 804	  23	   6	   4	 172	  24	   0	  46	 541	 325	   0	 391	3524	 205	 131	   9	   0	1807	  19	  47	 277	 116	  85	   0	 498	  85
ASV_24	 157	   0	   0	   0	  34	   0	   0	2589	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	5144	   0	   0	   0	   0	   0	   0	1515	   0	   0	   0	   0	   0	   0	   0	1030	6376	   0	   0	   0	   0	   0	   0	   0	   0	 350	   0	3095	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	 192	   0	   0	   0	   0	   0	   0	   0	 296	   0	   8	   0	   0	   0	 525	 598	   0	   0	   0	   0	   0	   0	   0	  57	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
ASV_25	   0	   0	1002	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	 120	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	1200	   0	   0	   0	  19	5192	   0	   0	   0	   0	   0	   0	   0	 276	 763	   0	 776	3204	   0	   0	   0	   0	   0	   0	   0	   0	  60	   0	3031	   0	   0	   0	   0	  53	   0	   0	   0	   0	 312	   0	 578	  78	3821	   0	   0	 120	   0	   0	   0	   0	 606	   0	   0	   0	   0	   0	   0	 347	   0
ASV_26	    0	    0	    0	    0	    0	    0	    0	    0	    0	  774	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	 3732	    0	    0	    0	    0	    0	   10	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	15883	   40	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    9	   74	    0	    0
