Feature ID	Taxon	Confidence
2605cb2393ceb155213f8f1a323ba86afeee41a0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999919618178319
779692e43efcb4859f5637926bd2e3666bf45dcf	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9993023589975384
1305740b9854433e6c051aa6cbe754fbbd2709b9	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9994036401914723
004eb81181c3d156fbac66d162e294ba8e202b6a	k__Bacteria	0.9065809207114544
dc2455823dffd4824be9af4337a0a486887cc206	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera; s__	0.9999018931055221
8aed2b6568bd9a30f25f992cd9f10b833f893f7c	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999952714263813
decf73ba1111c051b992e3ddccae9bef8ad59753	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__	0.9860913404114089
36edbc8d10a80e237939a3bd569b1bbc10ea57c9	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999986892068542
54e4006ffc82ae9e14fbd0367b6d91abd4b4b8a9	k__Bacteria	0.9456253455407043
01055cd6a821848c328775233829a369194c4f9f	k__Bacteria	0.9127656110242703
509bbabd9032662978523deb2a671407ae93cc40	k__Bacteria	0.9669362786198245
9f30b5e94703f3f92325f130c9b23222e148b4c2	Unassigned	0.8945323455677215
37dd9e2f5d7a3da73b238e1bade8becf9bd4b855	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9995373669688471
b7ae3e8ac5665e0941a7f79feea5d582e3998f99	Unassigned	0.8949031390632938
a6d26cbaf4d006b23c7acd1f7f9cc0cd8c99c039	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9994787286883065
f8ef975396297a7d86373b9b091b5bb6ea3ea4ec	k__Bacteria	0.8964858932472409
79c6be069ad0b056e8052b545968ba9101c52645	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9998729291060559
8eddf99431073b65b4705e84c1880befcd2a5c6f	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.999834436108336
021763c1171825e7081731af36345421ef65b12f	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__	0.9999990304550305
067e261169a05dead93d7874c86a103b244dd243	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9998044396799615
41b37f36aa881834a565d72de0894eb53af2132f	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9994280036482673
f67d9d4dede67f6c91f9b7aa01f4be27ad802e3a	Unassigned	0.8968053826258261
4ef698a02a6526655a51f7b67a7b218d8745cfd1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__	0.9975094417100955
70f2d6707b53629d91cd4aa886bee1e8cb4c5c5e	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999959059723796
4bf313ef9ebdfc03b5ff25f05166cd14aab105f5	k__Bacteria	0.9317578308471783
2ade5cc2c65647a56f3b1cc53fbd467cd7cc0221	k__Bacteria	0.9219917486758334
26569ef9571af0457b832acb5653834721d36a69	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9993495974104438
d1d853fd89aa55c2c12315d186870b1fbc0c52c4	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999993511467951
e23297dcaa2f93184d52e15a363f7d5b14e4ed42	k__Bacteria	0.9545678543891692
713d51dc031017695e8143a54e7c5211e0762396	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__	0.9999911129988822
ca9cec84883f2a4006846b2d4a10ef7fec76a840	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera; s__	0.9998039761165667
473fb9c17c074c954650c008a18651fbe6c722ef	Unassigned	0.8962567562424222
f15163a98f71ec922372bae3fff53841a9d25914	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9984981146952574
1bdfe28c01fd32bd681584881b2865a2f5be073e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9999063457465751
bd7f1308654d483318b5f07e84b0873ce24c8ef0	k__Bacteria	0.9395557492468479
9e52cf37fde8e7e818f80eee1bd33c48c8d6b398	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9999007938080221
9e0673becbf2a236728484300d239f7f0c47f305	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999985933061399
a327f927e78056624e63073ddb0e09c93e3a5fa2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9998341701958035
5e5f2b1908c300e1f0811746611210e3ff5e613f	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Atopobium; s__vaginae	0.9999999729846539
638743b39af5521cbb8bff37deb27bf75886aafe	k__Bacteria	0.9507201914320245
39a05ab67f8ee864c41a30bbc2044d53a6702630	Unassigned	0.8869618383949015
c1ebd75f91fbf6ade98d92ef77dc3a2f0e879a06	k__Bacteria	0.9679617036347172
0f335ebaaa272776db90df10f4295efec690533b	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__anginosus	0.9996532372400738
6b6011f1142ee7ed8baa02a8aa7d250c5f7b1584	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__	0.9984765246284827
736dc4139e75b4b7b614a292099ab91187379f01	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9996570495713851
f7f466aa67c3929d76b622badb9b05d5370c4083	k__Bacteria	0.9357524153229292
2b0220cb8feb995fe3458ccb267b4dfeb7aeadd8	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9996320261089602
47bb8e057ba5d60b9c712eac57fb781964dec552	Unassigned	0.911331504757011
560662320fa24c5d66d4abd49bd28924a98eb36d	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9998570949437011
ba1eeab336a6376c0845315ed48413211cf0a1ec	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__anginosus	0.9996127037919097
8053653b214d54a071bb2e99aba31aba029a0000	k__Bacteria	0.9501652699382577
9b5bb8fd1a6d4c6fb765faf00d3e33f34da650ec	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__	0.9880039188877088
b403a3c6e5f599847e5d97ab47db8d43810d0579	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9971062507262038
3ecd1dd5e27f991b8590b3ea766c692ebc5bbfc9	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9965945579676077
5d7bd14af2ec30967e138e31a5f67c7a1aa2f8dd	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.999986151121961
7a0d1ec9b6592215d54905af73f389b7b9fd1455	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999993196725581
d8285acab8827d9a3075fe06ab45a61d8088eda1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.998706559297159
0da1d687218ecc92a7d8c2ea735fa4c5fe48bd73	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9984532038225018
a003ff49936478471c1bdcc2e28ab97f00bce811	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Sneathia; s__	0.9999626707686053
8359f8fcf7dfc9cd7f0fb9e2fe984fb4177c0dbb	Unassigned	0.8828040062262611
8354d7df79dd923e3493e79cb0dc11d2d363b684	k__Bacteria	0.9472370438879979
032f6c8a6c3307c0d5ea9144d6ee676d09430ad0	k__Bacteria	0.9674313925377758
b1112e866b6e82e036fd244a01b072ab70726df8	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999774855469248
ff5f1317658085837ebbdeaa9699a0dfb5ae2ccc	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9983294630309419
366b35a8834e29f247e4bf45bfcc7834e3caa56e	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Porphyromonas; s__	0.997963750475874
cb9a9104ecc50a81972983d8c700d5d1bd42a137	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9993397331904479
69a8a52a987c79608521257feefb740fb5e3aa25	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9995676050405978
414ecd9c7d7711f103228de80a4ae0cb7e565c20	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999900677834848
16470079c8c02f081eccc5aa86bf63be3fcae485	k__Bacteria	0.9518088918687102
118ebfaa45acc6b585829922a29616f20b15e9c1	k__Bacteria	0.9508651920532064
b868c2bf2286a1d681482df6514df5fc0f4502d9	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.9999959671866666
2b7c7947e6631a467ae178a8459a6294364b1c62	k__Bacteria	0.922169605420784
615ab5955d91a0e858be421633e70e543c86764c	Unassigned	0.9213452795153572
18c668b7532f9a5d88fe2779053d5559772d0f5f	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9966441673585517
90bc30bce87bb9fdf0424e6cff1867dd89f2d85a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9989315044901041
4358fd121ce5026f2e2c6e2db2855ae42333d233	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9993856373537183
