#OTU ID	SRR2533834	SRR2533846	SRR2533860	SRR2533882	SRR2533894	SRR2533897	SRR2533904	SRR2533911	SRR2533919	SRR2533933	SRR2533949	SRR2533979	SRR2533985	SRR2534007	SRR2534013	SRR2534024	SRR2534037	SRR2534046	SRR2534057
OTU_171	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_172	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0
OTU_173	0	0	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0
OTU_174	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0
OTU_175	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0
OTU_176	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_177	0	0	0	61	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0
OTU_178	0	0	0	0	0	0	0	0	110	0	0	0	10	0	0	43	0	0	0
OTU_179	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0
OTU_18	0	0	0	1229	12	7	0	0	0	10484	2	0	0	135	0	0	0	0	0
OTU_180	0	0	0	0	0	0	174	0	48	0	0	0	0	0	0	0	0	0	0
OTU_181	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_182	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
OTU_183	0	0	0	0	0	0	0	0	99	0	26	0	23	0	0	0	0	0	0
OTU_184	0	0	0	0	97	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU_185	0	0	0	0	96	0	0	0	0	0	12	0	0	0	0	0	0	13	0
OTU_186	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0
OTU_187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	58	177
OTU_188	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_189	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19	0	0	0	0	0	0	0	0	7074	0	0	0	0	0	0	0	0	0	0
OTU_190	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_191	0	0	0	0	9	0	0	0	89	0	0	0	0	0	0	0	0	0	0
OTU_192	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_193	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_194	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0
OTU_195	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0
OTU_196	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0
OTU_197	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_198	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_199	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2	127449	43496	158254	2262	15	106	315254	67533	84	852	148678	7477	0	2345	9056	0	14	21513	26933
OTU_20	0	24	0	150	0	0	10	0	0	7	0	0	0	0	77	5	0	0	11142
OTU_200	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_201	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0
OTU_202	0	0	0	0	0	0	107	0	23	0	0	0	0	0	0	0	0	0	0
OTU_203	0	15	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0
OTU_204	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0
OTU_205	0	0	0	0	0	0	0	0	0	71	10	0	0	64	0	0	0	0	0
OTU_206	0	0	0	0	0	0	61	0	0	0	71	0	0	0	0	0	0	0	0
