Feature ID	p;c;o;f;g;s
ASV_1075	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1076	d__Bacteria
ASV_1077	d__Bacteria
ASV_1078	d__Bacteria
ASV_1079	d__Bacteria
ASV_108	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1080	d__Bacteria
ASV_1081	d__Bacteria
ASV_1082	d__Bacteria
ASV_1083	d__Bacteria
ASV_1084	d__Bacteria
ASV_1085	d__Bacteria
ASV_1086	d__Bacteria
ASV_1087	d__Bacteria
ASV_1088	d__Bacteria
ASV_1089	d__Bacteria
ASV_109	d__Bacteria
ASV_1090	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia
ASV_1091	d__Bacteria
ASV_1092	d__Bacteria
ASV_1093	d__Bacteria
ASV_1094	d__Bacteria
ASV_1095	d__Bacteria
ASV_1096	d__Bacteria
ASV_1097	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae
ASV_1098	d__Bacteria
ASV_1099	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus
ASV_11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
ASV_110	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1100	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium
ASV_1101	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae
ASV_1102	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus
ASV_1103	d__Bacteria
ASV_1104	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus
ASV_1105	d__Bacteria
ASV_1106	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Defluviimonas sp002871005
ASV_1107	d__Bacteria
ASV_1108	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1109	d__Bacteria
ASV_111	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1110	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1111	d__Bacteria
ASV_1112	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1113	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1114	d__Bacteria
ASV_1115	d__Bacteria
ASV_1116	d__Bacteria
ASV_1117	d__Bacteria
ASV_1118	d__Bacteria
ASV_1119	d__Bacteria
ASV_112	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1120	d__Bacteria
ASV_1121	d__Bacteria
ASV_1122	d__Bacteria
ASV_1123	d__Bacteria
ASV_1124	d__Bacteria
ASV_1125	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1126	d__Bacteria
ASV_1127	d__Bacteria
ASV_1128	d__Bacteria
ASV_1129	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_113	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1130	d__Bacteria
ASV_1131	d__Bacteria
ASV_1132	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Anaerococcus
ASV_1133	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens
ASV_1134	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Ezakiella;s__Ezakiella peruensis
ASV_1135	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia;s__Slackia exigua
ASV_1136	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium;s__Eubacterium brachy
ASV_1137	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium
ASV_1138	d__Bacteria
ASV_1139	d__Bacteria
ASV_114	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1140	d__Bacteria
ASV_1141	d__Bacteria
ASV_1142	d__Bacteria
ASV_1143	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1144	d__Bacteria
ASV_1145	d__Bacteria
ASV_1146	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter hominis
ASV_1147	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri_A
ASV_1148	d__Bacteria
ASV_1149	d__Bacteria
ASV_115	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1150	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Ezakiella;s__Ezakiella coagulans
ASV_1151	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__S5-A14a;s__S5-A14a sp000758905
ASV_1152	d__Bacteria
ASV_1153	d__Bacteria
ASV_1154	d__Bacteria
ASV_1155	d__Bacteria
ASV_1156	d__Bacteria
ASV_1157	d__Bacteria
ASV_1158	d__Bacteria
ASV_1159	d__Bacteria
ASV_116	d__Bacteria
ASV_1160	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1161	d__Bacteria
ASV_1162	d__Bacteria
ASV_1163	d__Bacteria
ASV_1164	d__Bacteria
ASV_1165	d__Bacteria
ASV_1166	d__Bacteria
ASV_1167	d__Bacteria
ASV_1168	d__Bacteria
ASV_1169	d__Bacteria
ASV_117	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1170	d__Bacteria
ASV_1171	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1172	d__Bacteria
ASV_1173	d__Bacteria
ASV_1174	d__Bacteria
ASV_1175	d__Bacteria
ASV_1176	d__Bacteria
ASV_1177	d__Bacteria
ASV_1178	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1179	d__Bacteria
ASV_118	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1180	d__Bacteria
ASV_1181	d__Bacteria
ASV_1182	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV_1183	d__Bacteria
ASV_1184	d__Bacteria
ASV_1185	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia sanguinegens
ASV_1186	d__Bacteria
ASV_1187	d__Bacteria
ASV_1188	d__Bacteria
ASV_1189	d__Bacteria
ASV_119	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV_1190	d__Bacteria
ASV_1191	d__Bacteria
ASV_1192	d__Bacteria
ASV_1193	d__Bacteria
ASV_1194	d__Bacteria
ASV_1195	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1196	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1197	d__Bacteria
ASV_1198	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae
ASV_1199	d__Bacteria
ASV_12	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
ASV_120	d__Bacteria
ASV_1200	d__Bacteria
ASV_1201	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Aureimonas;s__Aureimonas altamirensis
ASV_1202	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Defluviimonas sp002871005
ASV_1203	d__Bacteria
ASV_1204	d__Bacteria
ASV_1205	d__Bacteria
ASV_1206	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Ezakiella;s__Ezakiella coagulans
ASV_1207	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter hominis
ASV_1208	d__Bacteria
ASV_1209	d__Bacteria
ASV_121	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1210	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium
ASV_1211	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Fenollaria;s__Fenollaria massiliensis
ASV_1212	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Ezakiellaceae;g__Fenollaria;s__Fenollaria massiliensis
ASV_1213	d__Bacteria
ASV_1214	d__Bacteria
ASV_1215	d__Bacteria
ASV_1216	d__Bacteria
ASV_1217	d__Bacteria
ASV_1218	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1219	d__Bacteria
ASV_122	d__Bacteria
ASV_1220	d__Bacteria
ASV_1221	d__Bacteria
ASV_1222	d__Bacteria
ASV_1223	d__Bacteria
ASV_1224	d__Bacteria
ASV_1225	d__Bacteria
ASV_1226	d__Bacteria
ASV_1227	d__Bacteria
ASV_1228	d__Bacteria
ASV_1229	d__Bacteria
ASV_123	d__Bacteria
ASV_1230	d__Bacteria
ASV_1231	d__Bacteria
ASV_1232	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1233	d__Bacteria
ASV_1234	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1235	d__Bacteria
ASV_1236	d__Bacteria
ASV_1237	d__Bacteria;p__Firmicutes;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp001552885
ASV_1238	d__Bacteria
ASV_1239	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_124	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1240	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium
ASV_1241	d__Bacteria
ASV_1242	d__Bacteria
ASV_1243	d__Bacteria
ASV_1244	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Anaerococcus
ASV_1245	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus
ASV_1246	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium
ASV_1247	d__Bacteria
ASV_1248	d__Bacteria
ASV_1249	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes
ASV_125	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1250	d__Bacteria
ASV_1251	d__Bacteria
ASV_1252	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus
ASV_1253	d__Bacteria
ASV_1254	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Anaerococcus
ASV_1255	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus;s__Peptoniphilus coxii
ASV_1256	d__Bacteria
ASV_1257	d__Bacteria
ASV_1258	d__Bacteria
ASV_1259	d__Bacteria
ASV_126	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1260	d__Bacteria
ASV_1261	d__Bacteria
ASV_1262	d__Bacteria
ASV_1263	d__Bacteria
ASV_1264	d__Bacteria;p__Firmicutes;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Anaerococcus
ASV_1265	d__Bacteria
ASV_1266	d__Bacteria
ASV_1267	d__Bacteria
ASV_1268	d__Bacteria
ASV_1269	d__Bacteria
ASV_127	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
ASV_1270	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
ASV_1271	d__Bacteria
ASV_1272	d__Bacteria
ASV_1273	d__Bacteria
ASV_1274	d__Bacteria
ASV_1275	d__Bacteria
