#OTU ID	SRR19509437	SRR19509413	SRR19509414	SRR19509409	SRR19509419	SRR19509420	SRR19509430	SRR19509434	SRR19509427	SRR19509407	SRR19509435	SRR19509417	SRR19509422	SRR19509428	SRR19509433	SRR19509411	SRR19509408	SRR19509410	SRR19509415	SRR19509429	SRR19509403	SRR19509423	SRR19509416	SRR19509421	SRR19509412	SRR19509424	SRR19509425	SRR19509404	SRR19509405	SRR19509432	SRR19509436	SRR19509406
Zotu107	2	1	0	0	0	0	10	16	0	33	0	3	0	1	0	15	0	0	19	0	10	7	31	0	39	0	8	19	0	0	0	1
Zotu396	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	7	0	12	0	0	0	0	0	0	0
Zotu769	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu252	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	14	0	0	0	0	1	0	2	0	1	0	16	2	0	0	0	0
Zotu484	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu129	5	0	0	0	0	3	0	0	0	0	9	7	0	1	0	31	2	0	0	1	5	0	41	0	29	0	26	1	0	0	0	0
Zotu608	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	4	0	0	0	0
Zotu141	5	0	1	11	0	0	1	0	0	4	8	1	0	5	6	20	2	0	0	13	8	2	8	0	11	1	17	4	0	0	0	1
Zotu346	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	19	0	0	0	0	0	0	1	0	7	0	8	0	0	0	0	0
Zotu502	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Zotu589	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	0	0	0	0	0	6	0	1	0	9	0	0	0	0	0
Zotu614	5	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0
Zotu670	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Zotu100	5	3	0	13	2	1	12	16	9	1	18	0	2	0	18	10	0	1	3	0	1	8	1	0	22	49	3	9	1	1	0	0
Zotu541	2	0	0	2	0	0	2	1	0	0	1	1	1	2	0	1	1	1	0	1	0	1	1	0	0	0	1	6	0	1	0	0
Zotu179	5	0	0	0	0	0	0	0	0	0	0	11	0	0	0	15	0	0	0	0	0	0	20	0	13	0	18	0	0	0	0	0
Zotu378	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	11	0	0	0	0	0	0	1	0	0	0	4	4	0	0	0	0
Zotu135	1	0	0	17	0	5	1	12	28	1	2	0	6	0	27	0	1	1	0	19	0	0	1	0	0	29	17	8	0	0	0	0
Zotu94	5	0	0	0	0	0	4	0	2	0	0	11	10	10	6	39	0	0	0	0	14	0	35	0	21	14	49	22	0	1	0	0
Zotu260	1	0	0	0	0	0	0	2	0	0	0	1	0	2	0	3	0	0	0	0	0	0	10	0	6	10	7	0	0	0	0	0
Zotu382	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	2	0	0	0	8	0	4	0	0	0	0	0
Zotu322	3	0	0	0	0	0	0	0	0	0	0	5	0	5	0	22	0	0	0	0	0	0	7	0	7	0	5	0	0	0	0	0
Zotu809	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	6	0	0	0	0	0	0	1	0	2	1	1	1	0	0	0	0
Zotu749	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0
Zotu418	1	0	0	2	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	2	1	0	3	0	3	6	0	1	1	1	0	1
Zotu236	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	18	0	0	0	0	8	0	8	0	6	0	7	0	0	0	0	0
Zotu535	4	0	0	1	0	0	2	1	0	0	0	8	1	1	2	2	0	0	0	0	1	0	9	0	6	0	7	2	0	0	0	0
Zotu169	1	0	0	0	0	0	2	0	0	0	4	3	0	1	0	24	0	0	0	3	0	0	28	0	8	3	13	0	0	0	0	0
Zotu74	11	4	0	11	0	0	15	5	36	11	30	15	3	8	16	65	1	1	7	25	6	17	33	0	7	36	32	16	0	4	0	0
