#OTU ID	SRR6920027	SRR6920028	SRR6920030	SRR6920033	SRR6920034	SRR6920036	SRR6920038	SRR6920041	SRR6920042	SRR6920046	SRR6920050	SRR6920052	SRR6920056	SRR6920058	SRR6920059	SRR6920074	SRR6920078	SRR6920086	SRR6920089	SRR6920091	SRR6920093	SRR6920029	SRR6920031	SRR6920032	SRR6920035	SRR6920045	SRR6920047	SRR6920048	SRR6920049	SRR6920051	SRR6920053	SRR6920057	SRR6920064	SRR6920070	SRR6920071	SRR6920072	SRR6920075	SRR6920077	SRR6920085	SRR6920087	SRR6920088	SRR6920090	SRR6920092	SRR6920094
Zotu3318	2	0	0	0	0	0	0	5	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	3	0	0	15	0	3	2	0	0	0
Zotu4353	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	5	0	25	2	0	0	5	3	0	1	0	0	0
Zotu4408	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Zotu5049	1	0	0	0	1	1	1	0	0	1	0	2	0	0	1	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	7	0	7	1	0	2	2	0	2	0	0
Zotu852	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0
Zotu1624	1	0	0	0	0	0	0	0	110	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	1	0	0
Zotu4601	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
Zotu1365	2	0	0	0	0	0	0	67	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	35	0	0	0	0	7	2	0	0	0	0	0	12
Zotu933	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	128	0	0	0	0	0	0	5
Zotu4054	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Zotu5154	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Zotu1990	2	0	0	0	0	0	0	1	69	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
Zotu386	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	38	0	0	0	3	0	0	0	0	0	0	0	0	617	0	1	0	0	0	0	0	0	0	10
Zotu6975	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Zotu3800	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	2	0	0	6	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	24
Zotu4076	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	3	1	0	0	8	0	0	0	1	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	8
Zotu3346	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	19	0	6	0	2	0	0
Zotu7749	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Zotu5570	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
Zotu876	5	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0
Zotu2344	4	0	0	0	0	0	0	47	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	2	1	0	0	0	0	0	9
Zotu4564	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3662	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	15	0	1	1	0	0	0
Zotu5093	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0
Zotu463	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	0	0	0	0	0	0	0	0
Zotu403	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	13	0	0	1	1	26	0	0	0	3	0	0	0	0	0	0	0	0	599	0	0	0	0	0	0	0	0	0	10
Zotu7891	1	0	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Zotu3979	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21
