histology	Benign	EC	EC	EC	EC	EC	Benign	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	Benign	EC	EC	EC	EC	EC	EC	EC	EC	EC
sraID	SRR15655215	SRR15655218	SRR15655221	SRR15655225	SRR15655228	SRR15655231	SRR15655234	SRR15655235	SRR15655238	SRR15655241	SRR15655244	SRR15655248	SRR15655251	SRR15655254	SRR15655258	SRR15655261	SRR15655264	SRR15655267	SRR15655268	SRR15655271	SRR15655274	SRR15655277	SRR15655281	SRR15655284	SRR15655287	SRR15655291	SRR15655294	SRR15655297	SRR15655300
leptotrichiaceae	1069	   9	   1	   0	   2	  11	   0	   0	   0	 102	   4	   2	  11	  10	1728	   4	   0	 305	   1	   2	   0	   0	   2	   6	   3	  26	   1	   3	   6
bradyrhizobiaceae	  0	 12	  2	 14	  8	  0	  3	126	  5	  1	  1	  1	  2	  0	  0	  1	 16	  0	  1	  0	  3	  2	  4	  4	  3	  0	 18	  6	105
rhodospirillaceae	 0	 1	 1	 0	 0	 2	 0	 0	 0	 1	 1	 1	 1	 0	 0	 0	 3	 1	 0	 0	 0	 1	 1	 1	 1	97	 0	 0	 0
sphingomonadaceae	  0	  0	  0	  0	  0	  0	  0	330	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  3	  0	  0	  0	  0	  0	  0	  1	  0	 14	285
alcaligenaceae	 0	 0	 0	 0	11	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 4	 0	 0	 0	 0	 0	 0	 0	 0
burkholderiaceae	 0	 0	 0	 1	 1	 0	 0	13	 0	 0	 0	 0	 3	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 9
sutterellaceae	 2	 0	 0	 0	 1	 3	 0	14	 0	 0	 1	 0	 1	 1	 0	 0	 2	 1	25	 0	 0	 0	 3	 1	 1	92	 0	35	11
desulfovibrionaceae	 0	 0	 0	 0	 0	 0	 0	 8	 0	 0	 2	 0	 1	 0	 0	 0	 0	 2	11	 0	 0	 0	 1	 1	 0	38	 0	17	 1
campylobacteraceae	   9	  12	  29	   8	   0	 225	   1	1108	   0	  20	   2	   1	 626	  65	   4	   4	   6	  10	  19	  10	  22	   0	  18	   7	   1	 198	   0	  32	 110
helicobacteraceae	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	15	 0	 0	 0	 0	 0	 0	 0	 0	17	 2
enterobacteriaceae	 0	 5	 1	 2	 2	 0	 0	 5	 0	 0	 0	 0	 1	 2	 0	 1	 5	 0	38	 1	 0	 0	 1	71	 1	 1	 2	30	16
pasteurellaceae	  2	  3	  0	  0	  0	  0	  0	  0	  0	  1	  0	  8	  1	  1	  1	  0	  0	  0	  5	  0	  1	  0	  0	124	  0	  0	  0	  6	  2
mycoplasmataceae	  5	  0	331	  1	  0	155	308	  0	  0	  7	  2	  0	709	  5	  8	  3	  0	  5	  2	  7	  2	  3	  1	  9	  0	  8	  0	  0	  0
verrucomicrobiaceae	  0	  0	  2	  1	  0	  0	  0	125	  0	  1	  0	  0	  0	  0	  0	  0	  3	  0	 41	  1	  0	  0	  0	 89	  0	 23	  0	 32	120
