"","Estimate","Std..Error","z.value","Pr...z..","q"
"(Intercept)",0.677987073544395,0.69367013011962,0.977391189422383,0.328375523178645,0.686747373972165
"actinomycetaceae",-0.0103452279554529,0.0281013637001688,-0.368139712571697,0.712769060646947,0.712769060646947
"corynebacteriaceae",-4.99754200317206,9.82842240834438,-0.508478552868172,0.611117776175144,0.686747373972165
"propionibacteriaceae",15.9105514614497,31.8452990717989,0.499620098576481,0.617342603090696,0.686747373972165
"bifidobacteriaceae",3713.70915202928,7407.60915774093,0.501337080959309,0.616133912681183,0.686747373972165
"coriobacteriaceae",0.26897617386322,0.574005655817979,0.468594988807069,0.639359159904324,0.686747373972165
"bacteroidetes_incertae_sedis_family_incertae_sedis",-47.1153780290466,95.63447028972,-0.492661044561786,0.62225210719938,0.686747373972165
"bacteroidaceae",-0.0810540984199296,0.159565405397707,-0.507967865703141,0.611475879093058,0.686747373972165
"porphyromonadaceae",-0.278120790529001,0.549308476842447,-0.506310756622043,0.612638512939592,0.686747373972165
"prevotellaceae",0.00056148544547827,0.00107730392472859,0.521195024532866,0.60223091982571,0.686747373972165
"rikenellaceae",6.0582468677457,11.9315572686826,0.507749888075976,0.611628757175401,0.686747373972165
"flavobacteriaceae",-0.298466487533678,0.518631982991509,-0.575488009459233,0.564961297673176,0.686747373972165
"sphingobacteriaceae",2.15812629887973,3.98439972336378,0.541644023872623,0.588063758009448,0.686747373972165
"bacillales_incertae_sedis_xi",0.944556695488708,1.76715752003271,0.534506225269167,0.592991343596987,0.686747373972165
"staphylococcaceae",-0.22126146995936,0.482221277822357,-0.458838048288837,0.646350469620862,0.686747373972165
"aerococcaceae",-65.578963943587,131.197600042977,-0.499848807616185,0.617181540667648,0.686747373972165
"carnobacteriaceae",6.19245024190734,10.7764431016352,0.574628398582432,0.565542641563594,0.686747373972165
