"","Estimate","Std..Error","z.value","Pr...z..","q"
"(Intercept)",1.08164499544491,1.35363359150111,0.799067784839339,0.424251108252782,0.856982519925072
"sulfurisphaera",48.1193446546543,74.6404537634186,0.644681834426865,0.519133390676269,0.856982519925072
"gp4",4.4737828879503,7.70946873643496,0.58029716973975,0.561714235717037,0.856982519925072
"actinobaculum",-503.084088078938,623.79369691389,-0.806491137322897,0.419959716184455,0.856982519925072
"corynebacterium",-0.158330609093478,0.301861630216715,-0.524513860803731,0.599921181751252,0.856982519925072
"brachybacterium",5.64146362751065,9.11061008003535,0.61921908389792,0.535772041479475,0.856982519925072
"dietzia",-0.70479358195826,2.25299471219931,-0.312825226860058,0.754413448345621,0.910751995474132
"kocuria",-12.0936242312913,19.5433814770135,-0.618809198680153,0.536042061620692,0.856982519925072
"micrococcus",1.71978759320049,2.87427259771586,0.598338374226294,0.549614176370794,0.856982519925072
"rhodococcus",-0.0251545347767102,0.0462391503129042,-0.54400945100607,0.586434969225575,0.856982519925072
"propionibacterium",0.435841133733014,0.741792479951795,0.5875512970438,0.556833509433452,0.856982519925072
"bifidobacterium",-0.00292510684422395,0.00466534736569831,-0.626985862988601,0.530668502020619,0.856982519925072
"gardnerella",0.00291916823334685,0.00971694441212589,0.30042039035481,0.763856512333143,0.910751995474132
"atopobium",-0.0111527260129476,0.0201635746700591,-0.553112540580824,0.580186349970488,0.856982519925072
"enterorhabdus",1.12968965356842,1.82818956474638,0.617928072314063,0.536622753212682,0.856982519925072
"olsenella",189.250432741662,239.320527652264,0.790782280977776,0.429071051510018,0.856982519925072
"slackia",-18.6832689089671,57.3216005665066,-0.325937669644972,0.744471514340177,0.910751995474132
"rubrobacter",0.000782585526388873,0.0205741523316846,0.0380373156459854,0.969657929961578,0.969657929961578
"hydrogenobaculum",5.78951343313344,94.1309659118199,0.0615048764989509,0.950957130876463,0.969657929961578
"armatimonadetes_gp7",-0.921852195625918,1.60123431391663,-0.575713490283043,0.564808855451332,0.856982519925072
"bacteroides",0.0642838110960372,0.11710878903218,0.54892388203564,0.583057687990155,0.856982519925072
"porphyromonas",-0.0485921170791559,0.0966483301898612,-0.5027724429765,0.615124270304838,0.856982519925072
"paraprevotella",1.74456428963532,3.6840663354919,0.473543126199541,0.635825740589569,0.856982519925072
"prevotella",-0.0200295691768219,0.0319059504475453,-0.627769080559167,0.530155223865413,0.856982519925072
"chryseobacterium",-12.3196516806156,19.1078149685657,-0.644744137458034,0.519093008386809,0.856982519925072
"cloacibacterium",-4.06314678702113,6.90562733365858,-0.588381994958956,0.556275920256481,0.856982519925072
"elizabethkingia",0.229164312476628,1.28497346026579,0.178341669740966,0.85845465560012,0.950431940128705
"gangjinia",-0.36334328010801,1.49102933697536,-0.243686204622286,0.807473858456451,0.927099615264815
"bacillariophyta",0.919537993504181,1.52525153888,0.602876292902746,0.546590988140542,0.856982519925072
"chlorophyta",-194.177713997345,328.136838322369,-0.591758349931379,0.554012417171972,0.856982519925072
"streptophyta",-0.0408785284503599,0.467077201300876,-0.0875198539695524,0.930258304796577,0.969657929961578
