"","Estimate","Std..Error","z.value","Pr...z..","q"
"(Intercept)",4.40809781807547e-11,1.01378628226166,4.34815295413292e-11,0.999999999965307,0.999999999965307
"actinobaculum",-139.904728652982,245.340499271657,-0.570247183275153,0.568510058187557,0.846699205962529
"actinomyces",99.2644524764346,174.11969313026,0.570093196765367,0.568614489193555,0.846699205962529
"arcanobacterium",2906.40438289303,5057.59844502594,0.574660961024184,0.565520614762928,0.846699205962529
"mobiluncus",-183.24808915676,321.550071887448,-0.569889747127478,0.568752479301598,0.846699205962529
"trueperella",-17495.2913043486,31371.7542992345,-0.557676537227486,0.577065282137284,0.846699205962529
"varibaculum",90.8956425422378,158.901511031574,0.572025035836044,0.567305013633816,0.846699205962529
"corynebacterium",3.43346852994381,8.54845187478398,0.401647991968204,0.687943104844555,0.846699205962529
"propionibacterium",-99.2644524762302,174.40415900525,-0.569163333273733,0.569245301418552,0.846699205962529
"propionimicrobium",23.8843483290364,41.9195199059132,0.569766743098296,0.568835914782125,0.846699205962529
"atopobium",-0.360004011448204,0.882588646580057,-0.407895584022278,0.683350334947589,0.846699205962529
"collinsella",-6.66995684778855,20.4738522656721,-0.325779279895063,0.74459135649983,0.85096155028552
"eggerthella",-6.24734997853984,11.0861821587449,-0.563525827835317,0.573076877873038,0.846699205962529
"marinifilum",32.3258408449781,80.1565413838309,0.403283877858269,0.686739400656244,0.846699205962529
"bacteroides",-1.11618554218395e-12,0.0193726948516886,-5.76164313085568e-11,0.999999999954029,0.999999999965307
"barnesiella",0.173286795129679,0.295424147023565,0.586569503121409,0.557492869715727,0.846699205962529
