"testing_cohort","training_cohort","pipeline","level","AUC"
"Gressel","Antonio (N=15)","Angel","class",0.631527093596059
"Tsementzi","Antonio (N=15)","Angel","class",0.242810760667904
"Walsh","Antonio (N=15)","Angel","class",0.335366735279195
"Angel","Antonio (N=15)","Angel","order",0.562767094017094
"Gressel","Antonio (N=15)","Angel","order",0.888669950738916
"Tsementzi","Antonio (N=15)","Angel","order",0.217068645640074
"Walsh","Antonio (N=15)","Angel","order",0.335366735279195
"Angel","Antonio (N=15)","Angel","family",0.46875
"Gressel","Antonio (N=15)","Angel","family",0.640884460367219
"Tsementzi","Antonio (N=15)","Angel","family",0.217068645640074
"Walsh","Antonio (N=15)","Angel","family",0.385454866889066
"Angel","Antonio (N=15)","Angel","genus",0.46875
"Gressel","Antonio (N=15)","Angel","genus",0.641871921182266
"Tsementzi","Antonio (N=15)","Angel","genus",0.223526473526474
"Walsh","Antonio (N=15)","Angel","genus",0.334457305277264
"Angel","Antonio (N=15)","Antonio","phylum",0.705779238357012
"Gressel","Antonio (N=15)","Antonio","phylum",0
"Tsementzi","Antonio (N=15)","Antonio","phylum",0.258496406627167
"Walsh","Antonio (N=15)","Antonio","phylum",0.384396378270646
"Antonio","Antonio (N=15)","Antonio","phylum",0
"Angel","Antonio (N=15)","Antonio","class",0.703483650404606
"Gressel","Antonio (N=15)","Antonio","class",0.80528364013482
"Tsementzi","Antonio (N=15)","Antonio","class",0.313082589709028
"Walsh","Antonio (N=15)","Antonio","class",0.373915622881541
"Antonio","Antonio (N=15)","Antonio","class",0
"Angel","Antonio (N=15)","Antonio","order",0.672165854978355
"Gressel","Antonio (N=15)","Antonio","order",0.866266578249337
"Tsementzi","Antonio (N=15)","Antonio","order",0.41420017326647
"Walsh","Antonio (N=15)","Antonio","order",0.375195123100062
"Antonio","Antonio (N=15)","Antonio","order",0
"Angel","Antonio (N=15)","Antonio","family",0.661596058637171
"Gressel","Antonio (N=15)","Antonio","family",0.760812462189958
"Tsementzi","Antonio (N=15)","Antonio","family",0.329557975035966
"Walsh","Antonio (N=15)","Antonio","family",0.347660366994886
"Antonio","Antonio (N=15)","Antonio","family",0.639761904761905
"Angel","Antonio (N=15)","Antonio","genus",0.625495366933771
"Gressel","Antonio (N=15)","Antonio","genus",0.887908859977825
"Tsementzi","Antonio (N=15)","Antonio","genus",0.32112723070682
"Walsh","Antonio (N=15)","Antonio","genus",0.406038298404258
"Antonio","Antonio (N=15)","Antonio","genus",0.129166666666667
"Angel","Antonio (N=15)","Gressel","phylum",0.64762469118973
"Gressel","Antonio (N=15)","Gressel","phylum",0.807762413512414
"Tsementzi","Antonio (N=15)","Gressel","phylum",0.401017822964383
"Walsh","Antonio (N=15)","Gressel","phylum",0.485457815804403
"Angel","Antonio (N=15)","Gressel","class",0.671105425283244
"Gressel","Antonio (N=15)","Gressel","class",0.894406783618858
"Tsementzi","Antonio (N=15)","Gressel","class",0.448868951553615
"Walsh","Antonio (N=15)","Gressel","class",0.492057634291654
"Angel","Antonio (N=15)","Gressel","order",0.694243346870772
"Gressel","Antonio (N=15)","Gressel","order",0.892210766819387
"Tsementzi","Antonio (N=15)","Gressel","order",0.412526939885841
"Walsh","Antonio (N=15)","Gressel","order",0.467501553801498
"Angel","Antonio (N=15)","Gressel","family",0.664877685840856
"Gressel","Antonio (N=15)","Gressel","family",0.817536045640245
"Tsementzi","Antonio (N=15)","Gressel","family",0.261542023727899
"Walsh","Antonio (N=15)","Gressel","family",0.48307175639236
"Angel","Antonio (N=15)","Gressel","genus",0.632863877611659
"Gressel","Antonio (N=15)","Gressel","genus",0.729694821165939
"Tsementzi","Antonio (N=15)","Gressel","genus",0.316439096038532
"Walsh","Antonio (N=15)","Gressel","genus",0.467562757443335
"Angel","Antonio (N=15)","Tsementzi","phylum",0
"Gressel","Antonio (N=15)","Tsementzi","phylum",0
"Tsementzi","Antonio (N=15)","Tsementzi","phylum",0
"Walsh","Antonio (N=15)","Tsementzi","phylum",0.357863633541928
"Angel","Antonio (N=15)","Tsementzi","class",0.337384259259259
"Gressel","Antonio (N=15)","Tsementzi","class",0.630541871921182
"Tsementzi","Antonio (N=15)","Tsementzi","class",0.207308970099668
"Walsh","Antonio (N=15)","Tsementzi","class",0.127159492874101
"Angel","Antonio (N=15)","Tsementzi","order",0.599561403508772
"Gressel","Antonio (N=15)","Tsementzi","order",0.612586206896552
"Tsementzi","Antonio (N=15)","Tsementzi","order",0.178617571059432
"Walsh","Antonio (N=15)","Tsementzi","order",0.127159492874101
"Angel","Antonio (N=15)","Tsementzi","family",0.28125
"Gressel","Antonio (N=15)","Tsementzi","family",0.556669950738916
"Tsementzi","Antonio (N=15)","Tsementzi","family",0.125103820598007
"Walsh","Antonio (N=15)","Tsementzi","family",0.375656981156737
"Angel","Antonio (N=15)","Tsementzi","genus",0.28125
"Gressel","Antonio (N=15)","Tsementzi","genus",0.461379310344828
"Tsementzi","Antonio (N=15)","Tsementzi","genus",0.125103820598007
"Walsh","Antonio (N=15)","Tsementzi","genus",0.105807037995693
"Angel","Gressel (N=19)","Angel","phylum",0.222064393939394
"Antonio","Gressel (N=19)","Angel","phylum",0.0663003663003663
"Tsementzi","Gressel (N=19)","Angel","phylum",0.278138528138528
"Walsh","Gressel (N=19)","Angel","phylum",0.32311066540633
"Angel","Gressel (N=19)","Angel","class",0.191576086956522
"Antonio","Gressel (N=19)","Angel","class",0.0663003663003663
"Tsementzi","Gressel (N=19)","Angel","class",0
"Walsh","Gressel (N=19)","Angel","class",0.16648881208256
"Angel","Gressel (N=19)","Angel","order",0.472222222222222
"Antonio","Gressel (N=19)","Angel","order",0.43525641025641
"Tsementzi","Gressel (N=19)","Angel","order",0
"Walsh","Gressel (N=19)","Angel","order",0.410932847016301
"Angel","Gressel (N=19)","Angel","family",0.307122975708502
"Antonio","Gressel (N=19)","Angel","family",0.716025641025641
"Tsementzi","Gressel (N=19)","Angel","family",0.147917345497991
"Walsh","Gressel (N=19)","Angel","family",0.276102981626141
"Angel","Gressel (N=19)","Angel","genus",0.793087121212121
"Antonio","Gressel (N=19)","Angel","genus",0.474542124542125
"Tsementzi","Gressel (N=19)","Angel","genus",0.0887445887445887
"Walsh","Gressel (N=19)","Angel","genus",0.225407142335153
"Angel","Gressel (N=19)","Antonio","phylum",0.384957837301587
"Antonio","Gressel (N=19)","Antonio","phylum",0.487726019895138
"Tsementzi","Gressel (N=19)","Antonio","phylum",0.241769906180816
"Walsh","Gressel (N=19)","Antonio","phylum",0.399895957708831
"Angel","Gressel (N=19)","Antonio","class",0.610571125998758
"Antonio","Gressel (N=19)","Antonio","class",0.344919786096257
"Tsementzi","Gressel (N=19)","Antonio","class",0.194432540200116
"Walsh","Gressel (N=19)","Antonio","class",0.422145643036729
"Angel","Gressel (N=19)","Antonio","order",0.574959935897436
"Antonio","Gressel (N=19)","Antonio","order",0.327777777777778
"Tsementzi","Gressel (N=19)","Antonio","order",0.18262987012987
"Walsh","Gressel (N=19)","Antonio","order",0.436683444034175
"Angel","Gressel (N=19)","Antonio","family",0.636672651515564
"Antonio","Gressel (N=19)","Antonio","family",0.59995757918552
"Tsementzi","Gressel (N=19)","Antonio","family",0.242291514081328
"Walsh","Gressel (N=19)","Antonio","family",0.489246058652159
"Angel","Gressel (N=19)","Antonio","genus",0.350694444444444
"Antonio","Gressel (N=19)","Antonio","genus",0.65479797979798
"Tsementzi","Gressel (N=19)","Antonio","genus",0.245747408414747
"Walsh","Gressel (N=19)","Antonio","genus",0.560657550638997
"Angel","Gressel (N=19)","Gressel","phylum",0.556383767703435
"Antonio","Gressel (N=19)","Gressel","phylum",0.622896051911889
"Tsementzi","Gressel (N=19)","Gressel","phylum",0.47290626040626
"Walsh","Gressel (N=19)","Gressel","phylum",0.45167795330589
"Gressel","Gressel (N=19)","Gressel","phylum",0.548629148629149
"Angel","Gressel (N=19)","Gressel","class",0.59123369307135
"Antonio","Gressel (N=19)","Gressel","class",0.66987757353916
"Tsementzi","Gressel (N=19)","Gressel","class",0.412289353758509
"Walsh","Gressel (N=19)","Gressel","class",0.50033935760428
"Gressel","Gressel (N=19)","Gressel","class",0.343338143338143
"Angel","Gressel (N=19)","Gressel","order",0.593291016011901
"Antonio","Gressel (N=19)","Gressel","order",0.532036685034423
"Tsementzi","Gressel (N=19)","Gressel","order",0.651459560698282
"Walsh","Gressel (N=19)","Gressel","order",0.477740392716028
"Gressel","Gressel (N=19)","Gressel","order",0.418069584736251
"Angel","Gressel (N=19)","Gressel","family",0.605358561645484
"Antonio","Gressel (N=19)","Gressel","family",0.684337325570357
"Tsementzi","Gressel (N=19)","Gressel","family",0.506609654397318
"Walsh","Gressel (N=19)","Gressel","family",0.432942189046971
"Gressel","Gressel (N=19)","Gressel","family",0.595763187429854
"Angel","Gressel (N=19)","Gressel","genus",0.502385761542494
"Antonio","Gressel (N=19)","Gressel","genus",0.249311580232633
"Tsementzi","Gressel (N=19)","Gressel","genus",0.394127552144385
"Walsh","Gressel (N=19)","Gressel","genus",0.326593098434534
"Gressel","Gressel (N=19)","Gressel","genus",0.41952861952862
"Angel","Gressel (N=19)","Tsementzi","phylum",0.733006512416795
"Antonio","Gressel (N=19)","Tsementzi","phylum",0.161363636363636
"Tsementzi","Gressel (N=19)","Tsementzi","phylum",0.242462252196425
"Walsh","Gressel (N=19)","Tsementzi","phylum",0.529777817817904
"Angel","Gressel (N=19)","Tsementzi","class",0.655511788048553
"Antonio","Gressel (N=19)","Tsementzi","class",0.59537037037037
"Tsementzi","Gressel (N=19)","Tsementzi","class",0.236963955762041
"Walsh","Gressel (N=19)","Tsementzi","class",0.547182709551311
"Angel","Gressel (N=19)","Tsementzi","order",0.727615771822393
"Antonio","Gressel (N=19)","Tsementzi","order",0.546717171717172
"Tsementzi","Gressel (N=19)","Tsementzi","order",0.249516109809563
"Walsh","Gressel (N=19)","Tsementzi","order",0.558142133471438
"Angel","Gressel (N=19)","Tsementzi","family",0.691703916560238
"Antonio","Gressel (N=19)","Tsementzi","family",0.669612794612795
"Tsementzi","Gressel (N=19)","Tsementzi","family",0.293125788947795
"Walsh","Gressel (N=19)","Tsementzi","family",0.518844384525036
"Angel","Gressel (N=19)","Tsementzi","genus",0.666502963881996
"Antonio","Gressel (N=19)","Tsementzi","genus",0.572222222222222
