#OTU ID	SRR7635994	SRR7636007	SRR7636010	SRR7636016	SRR7636020	SRR7636031	SRR7636047	SRR7636084	SRR7636103	SRR7636117	SRR7636124	SRR7636128	SRR7636151	SRR7636156	SRR7636174	SRR7636179	SRR7636195	SRR7636204	SRR7636214	SRR7636238	SRR7636246	SRR7636247	SRR7636265	SRR7636266	SRR7636267	SRR7636277	SRR7636291	SRR7636294	SRR7636307	SRR7636333	SRR7636336	SRR7636348	SRR7636349	SRR7636352	SRR7636363	SRR7636367	SRR7636374	SRR7636382	SRR7636388	SRR7636416	SRR7636423	SRR7636435	SRR7636439	SRR7636445	SRR7636460	SRR7636473	SRR7636476	SRR7636477	SRR7636479	SRR7636484	SRR7636503	SRR7636510	SRR7636515	SRR7636519	SRR7636520	SRR7636521	SRR7636527	SRR7636560	SRR7636577	SRR7636580	SRR7636587	SRR7636588	SRR7636592	SRR7636596	SRR7636597	SRR7636627	SRR7636634	SRR7636635	SRR7636655	SRR7636664	SRR7636675	SRR7636686	SRR7636689	SRR7636690	SRR7636693	SRR7636725	SRR7636729	SRR7636737	SRR7636756	SRR7636763	SRR7636777	SRR7636786	SRR7636790	SRR7636797	SRR7636801	SRR7636806	SRR7636827	SRR7636830	SRR7636849	SRR7636851	SRR7636861	SRR7636869	SRR7636890	SRR7636892	SRR7636895	SRR7636899	SRR7636900	SRR7636904	SRR7636908	SRR7636915	SRR7636923	SRR7636927	SRR7636955	SRR7636960	SRR7636969	SRR7636974	SRR7637012	SRR7637020	SRR7637026	SRR7637029	SRR7637032	SRR7637034	SRR7635466	SRR7635470	SRR7635478	SRR7635481	SRR7635489	SRR7635493	SRR7635503	SRR7635538	SRR7635553	SRR7635563	SRR7635580	SRR7635581	SRR7635596	SRR7635605	SRR7635613	SRR7635627	SRR7635629	SRR7635654	SRR7635667	SRR7635683	SRR7635688	SRR7635695	SRR7635708	SRR7635731	SRR7635743	SRR7635769	SRR7635793	SRR7635815	SRR7635825	SRR7635839	SRR7635851	SRR7635862	SRR7635879	SRR7635891	SRR7635903	SRR7635918	SRR7635942	SRR7635964	SRR7635971
Zotu211	0	3	0	0	1	0	0	1	1	2	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	1	5	0	2	1	0	0	0	0	0	0	3	6	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	13	0	0	0	0	3	4	3	0	0	0	0	0	5	0	7	1	0	0	0	0	2	5	0	0	1	0	4	9	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	0	1	0	0	1	0	0	4	0	0	1	0	0	22	0	0	0	0	0	1	0	0
Zotu48	0	57	0	0	0	0	0	125	68	5	0	0	0	3	2	0	0	44	2	0	0	0	0	6	1	70	10	2	0	0	47	0	0	0	6	0	0	0	0	0	61	0	3	0	0	0	0	0	2	0	3	0	0	0	0	7	15	0	0	0	1	31	0	17	0	0	0	6	3	0	0	0	151	5	0	0	0	2	88	3	8	0	0	2	0	0	8	1	0	0	2	170	385	0	236	2	0	0	3	0	4	0	0	2	1	0	0	0	0	6	0	2	0	0	0	0	32	21	0	10	0	0	2	0	0	0	0	0	8	0	10	0	0	2	0	0	0	0	0	0	21	0	0	0	0	0	0	6	0	0	0
Zotu128	0	1	0	4	0	0	1	1	3	0	0	0	1	0	8	5	0	1	0	1	2	0	0	6	1	2	4	2	0	1	3	0	2	0	0	2	0	1	10	4	1	0	0	1	0	0	4	2	10	0	1	10	0	3	1	1	0	0	1	1	2	4	4	6	0	1	0	1	0	1	0	1	1	7	1	0	1	0	4	11	2	0	3	0	8	9	4	0	0	0	0	3	3	4	13	4	0	4	4	0	11	5	1	0	3	0	3	1	3	11	11	0	0	0	0	0	0	0	0	2	1	1	4	0	0	0	0	8	0	0	0	0	0	0	1	0	2	0	0	0	3	0	12	1	0	0	0	0	3	0	0
Zotu6	0	43	0	36	25	0	3	199	34	70	0	0	21	36	5	2	6	49	84	8	1	0	3	237	9	449	20	85	3	10	51	2	0	0	7	16	0	11	0	288	30	17	17	35	1	0	7	13	23	0	8	2	7	21	29	105	538	4	4	2	4	17	125	84	12	9	0	175	123	10	0	428	139	23	144	0	10	2	1803	1	68	3	66	133	1	4	130	160	1	0	56	2393	25	5	61	4	0	709	3	0	1982	59	10	18	160	38	33	0	100	100	17	15	0	1	1	0	29	6	264	51	0	0	18	2	0	0	0	21	9	1	28	0	0	1	0	0	1001	0	0	68	221	1	0	2	1	0	0	58	0	0	7
Zotu181	0	4	0	1	0	0	0	3	1	1	0	0	0	0	7	1	0	0	0	0	2	0	0	2	0	0	0	1	0	2	3	0	0	0	0	0	1	0	7	7	4	0	0	0	0	0	1	0	0	0	0	3	0	2	0	0	2	1	0	3	1	0	0	2	0	3	0	0	0	0	0	5	0	2	0	0	0	0	2	4	2	0	1	0	5	9	4	0	0	0	1	0	6	3	4	0	0	0	0	3	2	4	2	0	0	1	0	5	1	3	1	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	5	1	0	1	0	0	1	0	0	9	0	1	0	1	0	12	0	0	0	2	1	1	0	0
Zotu335	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	2	3	0	0	0	1	0	5	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	1	0	2	1	0	0	0	3	0	5	0	0	0	4	2	2	0	0	0	0	0	1	1	4	0	1	2	0	0	3	1	1	0	0	0	0	3	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	3	0	0
Zotu30	0	7	0	2	0	0	0	7	1	0	0	0	0	0	11	0	1	7	0	1	19	0	0	0	42	0	2	1	0	0	3	0	25	0	12	7	0	383	0	6	0	0	17	0	9	2	95	1	3	0	3	6	0	0	0	4	1	157	0	0	0	14	15	1489	43	715	0	0	57	0	0	0	9	0	0	0	0	0	13	0	11	0	0	22	4	0	7	1	0	0	0	0	0	0	1	0	0	0	0	0	33	0	0	0	0	33	1	1	0	1	0	9	0	0	0	0	5	17	8	261	0	0	0	0	0	0	0	5	4	0	0	1	0	2	0	48	320	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Zotu42	0	11	2	14	0	2	37	3	22	3	5	2	51	9	14	120	0	1	169	21	256	3	2	364	35	12	257	12	4	29	230	4	7	5	0	60	49	7	153	5	5	4	5	71	0	0	13	98	407	6	38	16	13	48	43	4	1	3	1	47	4	138	65	28	20	1	0	25	21	1	1	18	18	410	153	0	9	1	2	17	22	2	244	98	329	42	2	0	0	0	11	19	51	49	376	50	9	118	239	0	7	60	7	1	125	17	71	53	190	166	294	1	5	2	0	8	7	16	3	0	8	2	3	3	10	1	4	8	1	0	3	3	5	12	0	3	17	2	11	39	2	0	25	21	1	3	4	27	5	1	17
Zotu145	0	2	0	0	0	0	0	4	5	0	2	0	4	0	3	5	0	0	3	1	1	1	0	6	0	1	1	1	1	4	6	0	1	0	0	1	4	0	6	0	1	1	0	0	0	0	2	1	0	0	0	12	2	1	0	1	0	0	0	2	0	2	2	3	1	2	1	1	0	1	0	3	2	2	0	0	0	0	6	3	2	0	6	0	3	7	0	0	0	0	0	4	4	5	10	3	0	1	2	0	10	3	0	0	1	0	1	10	5	8	4	0	0	0	0	0	1	2	4	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7	0	0	0	2	0	12	1	0	0	1	1	5	0	0
Zotu23	0	40	0	19	1	0	0	687	16	232	0	0	1	0	0	0	0	3	0	0	2	0	0	0	0	34	4	0	0	0	0	0	0	0	0	9	0	6	0	7	122	21	2	44	2	0	14	0	0	0	0	19	5	0	0	4	129	0	0	0	0	0	2	4	96	158	0	6	5	0	0	31	64	2	1	1	0	0	116	5	0	1	1	62	0	2	6	33	0	0	0	523	0	0	0	0	0	10	0	0	234	2	11	3	1	0	0	0	0	3	9	1	0	0	1	0	22	27	80	87	0	0	106	0	0	0	0	38	43	0	13	0	0	0	0	0	711	0	0	0	6	0	0	0	0	0	0	0	0	0	1
